CD,County,Biden,Trump,Total,Biden%,Trump%
1,Alcorn,"2,782","12,818","15,793",17.62%,81.16%
,Benton,"1,679","2,570","4,289",39.15%,59.92%
,Calhoun,"1,902","4,625","6,590",28.86%,70.18%
,Chickasaw,"3,810","4,175","8,141",46.80%,51.28%
,Choctaw,"1,185","3,001","4,223",28.06%,71.06%
,Clay,"5,844","4,181","10,189",57.36%,41.03%
,DeSoto,"28,265","46,462","76,124",37.13%,61.03%
,Itawamba,"1,249","9,438","10,819",11.54%,87.24%
,Lafayette,"10,070","12,949","23,423",42.99%,55.28%
,Lee,"12,189","24,207","36,954",32.98%,65.51%
,Lowndes,"13,087","13,800","27,241",48.04%,50.66%
,Marshall,"8,057","7,566","15,817",50.94%,47.83%
,Monroe,"5,874","11,177","17,259",34.03%,64.76%
,Oktibbeha (pt.),701,"1,000","1,717",40.83%,58.20%
,Pontotoc,"2,614","11,550","14,361",18.20%,80.43%
,Prentiss,"2,153","8,370","10,644",20.23%,78.64%
,Tate,"4,183","8,707","13,093",31.95%,66.50%
,Tippah,"1,937","8,054","10,102",19.17%,79.73%
,Tishomingo,"1,059","7,933","9,138",11.59%,86.81%
,Union,"2,160","10,373","12,683",17.03%,81.79%
,Webster,"1,043","4,291","5,395",19.33%,79.54%
,Winston,"4,040","5,112","9,236",43.74%,55.35%
1 Total,,"115,883","222,359","343,231",33.76%,64.78%
2,Attala,"3,542","5,178","8,823",40.15%,58.69%
,Bolivar,"8,904","4,671","13,744",64.78%,33.99%
,Carroll,"1,729","3,924","5,701",30.33%,68.83%
,Claiborne,"3,772",603,"4,449",84.78%,13.55%
,Coahoma,"6,020","2,375","8,501",70.82%,27.94%
,Copiah,"6,470","6,250","12,883",50.22%,48.51%
,Grenada,"4,734","6,081","10,911",43.39%,55.73%
,Hinds (pt.),"65,264","19,239","85,498",76.33%,22.50%
,Holmes,"6,588","1,369","8,115",81.18%,16.87%
,Humphreys,"3,016","1,118","4,189",72.00%,26.69%
,Issaquena,355,308,676,52.51%,45.56%
,Jefferson,"3,327",531,"3,908",85.13%,13.59%
,Leake,"3,897","5,228","9,200",42.36%,56.83%
,Leflore,"7,648","3,129","10,893",70.21%,28.72%
,Madison (pt.),"9,232","2,624","11,965",77.16%,21.93%
,Montgomery,"2,121","2,917","5,075",41.79%,57.48%
,Panola,"7,403","8,060","15,627",47.37%,51.58%
,Quitman,"2,150","1,026","3,226",66.65%,31.80%
,Sharkey,"1,465",688,"2,183",67.11%,31.52%
,Sunflower,"6,781","2,799","9,681",70.04%,28.91%
,Tallahatchie,"3,105","2,488","5,685",54.62%,43.76%
,Tunica,"2,580",926,"3,562",72.43%,26.00%
,Warren,"10,442","10,365","21,053",49.60%,49.23%
,Washington,"12,503","5,300","18,008",69.43%,29.43%
,Yalobusha,"2,785","3,671","6,535",42.62%,56.17%
,Yazoo,"5,496","4,832","10,436",52.66%,46.30%
2 Total,,"191,329","105,700","300,527",63.66%,35.17%
3,Adams,"7,917","5,696","13,759",57.54%,41.40%
,Amite,"2,620","4,503","7,196",36.41%,62.58%
,Clarke (pt.),"2,233","4,976","7,283",30.66%,68.32%
,Covington,"3,416","5,854","9,360",36.50%,62.54%
,Franklin,"1,480","2,923","4,461",33.18%,65.52%
,Hinds (pt.),"8,286","5,902","14,497",57.16%,40.71%
,Jasper,"4,341","4,302","8,736",49.69%,49.24%
,Jefferson Davis,"3,599","2,534","6,213",57.93%,40.79%
,Kemper,"2,887","1,787","4,731",61.02%,37.77%
,Lauderdale,"12,960","17,967","31,247",41.48%,57.50%
,Lawrence,"2,260","4,285","6,613",34.18%,64.80%
,Lincoln,"5,040","11,596","16,801",30.00%,69.02%
,Madison (pt.),"15,208","28,467","44,247",34.37%,64.34%
,Neshoba,"3,260","8,320","11,703",27.86%,71.09%
,Newton,"3,075","6,997","10,183",30.20%,68.71%
,Noxubee,"4,040","1,240","5,339",75.67%,23.23%
,Oktibbeha (pt.),"9,598","8,004","18,040",53.20%,44.37%
,Pike,"8,646","8,479","17,342",49.86%,48.89%
,Rankin,"18,847","50,895","70,655",26.67%,72.03%
,Scott,"4,330","6,285","10,733",40.34%,58.56%
,Simpson,"4,037","7,635","11,815",34.17%,64.62%
,Smith,"1,791","6,458","8,327",21.51%,77.55%
,Walthall,"2,835","4,220","7,119",39.82%,59.28%
,Wilkinson,"2,749","1,324","4,127",66.61%,32.08%
3 Total,,"135,455","210,649","350,527",38.64%,60.10%
4,Clarke (pt.),605,441,"1,055",57.35%,41.80%
,Forrest,"13,755","17,290","31,654",43.45%,54.62%
,George,"1,218","9,713","11,049",11.02%,87.91%
,Greene,966,"4,794","5,812",16.62%,82.48%
,Hancock,"4,504","16,132","20,957",21.49%,76.98%
,Harrison,"27,728","46,822","75,768",36.60%,61.80%
,Jackson,"17,375","36,295","54,543",31.86%,66.54%
,Jones,"8,517","21,226","30,091",28.30%,70.54%
,Lamar,"7,340","20,704","28,485",25.77%,72.68%
,Marion,"3,787","8,273","12,177",31.10%,67.94%
,Pearl River,"4,148","19,595","24,033",17.26%,81.53%
,Perry,"1,362","4,500","5,916",23.02%,76.06%
,Stone,"1,802","5,964","7,878",22.87%,75.70%
,Wayne,"3,624","6,307","10,056",36.04%,62.72%
4 Total,,"96,731","218,056","319,474",30.28%,68.25%
Grand Total,,"539,398","756,764","1,313,759",41.06%,57.60%
