CD,County,Biden,Trump,Total,Biden%,Trump%
1,St. Louis (pt.),"147,820","36,806","187,535",78.82%,19.63%
,St. Louis City,"110,089","21,474","133,793",82.28%,16.05%
1 Total,,"257,909","58,280","321,328",80.26%,18.14%
2,Jefferson (pt.),"8,227","13,639","22,288",36.91%,61.20%
,St. Charles (pt.),"33,791","46,138","81,353",41.54%,56.71%
,St. Louis (pt.),"180,331","162,687","348,684",51.72%,46.66%
2 Total,,"222,349","222,464","452,325",49.16%,49.18%
3,Callaway,"5,870","14,815","21,140",27.77%,70.08%
,Camden (pt.),"3,632","11,143","14,969",24.26%,74.44%
,Cole,"12,694","26,086","39,514",32.13%,66.02%
,Franklin,"14,569","38,058","53,677",27.14%,70.90%
,Gasconade,"1,601","6,222","7,923",20.21%,78.53%
,Jefferson (pt.),"20,280","40,770","62,200",32.60%,65.55%
,Lincoln,"6,607","21,848","29,017",22.77%,75.29%
,Maries,814,"3,892","4,771",17.06%,81.58%
,Miller,"2,038","10,176","12,380",16.46%,82.20%
,Montgomery,"1,208","4,465","5,772",20.93%,77.36%
,Osage,"1,037","6,425","7,539",13.76%,85.22%
,St. Charles (pt.),"55,739","82,251","140,639",39.63%,58.48%
,Warren,"4,769","13,222","18,373",25.96%,71.96%
3 Total,,"130,857","279,373","417,914",31.31%,66.85%
4,Audrain (pt.),"2,125","5,926","8,232",25.81%,71.99%
,Barton,844,"5,168","6,077",13.89%,85.04%
,Bates,"1,672","6,597","8,416",19.87%,78.39%
,Benton,"2,180","8,109","10,475",20.81%,77.41%
,Boone,"50,064","38,646","91,130",54.94%,42.41%
,Camden (pt.),"2,020","7,707","9,843",20.52%,78.31%
,Cass,"19,052","37,197","57,398",33.19%,64.81%
,Cedar,"1,145","5,788","7,043",16.26%,82.18%
,Cooper,"2,249","6,272","8,690",25.88%,72.17%
,Dade,656,"3,414","4,119",15.93%,82.88%
,Dallas,"1,380","6,619","8,104",17.03%,81.68%
,Henry,"2,619","8,027","10,788",24.28%,74.41%
,Hickory,"1,056","3,966","5,080",20.79%,78.07%
,Howard,"1,413","3,553","5,091",27.75%,69.79%
,Johnson,"6,974","15,489","23,122",30.16%,66.99%
,Laclede,"2,780","13,762","16,792",16.56%,81.96%
,Moniteau,"1,308","5,744","7,157",18.28%,80.26%
,Morgan,"1,924","7,442","9,487",20.28%,78.44%
,Pettis,"4,783","13,854","19,096",25.05%,72.55%
,Pulaski,"3,740","10,329","14,414",25.95%,71.66%
,Randolph,"2,485","8,018","10,742",23.13%,74.64%
,St. Clair,988,"3,932","4,974",19.86%,79.05%
,Vernon,"1,903","7,155","9,185",20.72%,77.90%
,Webster (pt.),"2,615","11,129","13,992",18.69%,79.54%
4 Total,,"117,975","243,844","369,447",31.93%,66.00%
5,Clay (pt.),"19,441","15,567","35,815",54.28%,43.47%
,Jackson (pt.),"71,110","72,631","146,822",48.43%,49.47%
,Kansas City- Jackson,"107,660","26,393","136,560",78.84%,19.33%
,Lafayette,"4,472","12,273","17,051",26.23%,71.98%
,Ray,"3,109","8,345","11,649",26.69%,71.64%
,Saline,"2,904","6,451","9,519",30.51%,67.77%
5 Total,,"208,696","141,661","357,416",58.39%,39.63%
6,Adair,"3,710","6,413","10,335",35.90%,62.05%
,Andrew,"2,351","7,255","9,752",24.11%,74.39%
,Atchison,564,"2,199","2,814",20.04%,78.14%
,Audrain (pt.),579,"1,806","2,418",23.95%,74.68%
,Buchanan,"13,445","22,450","36,598",36.74%,61.34%
,Caldwell,897,"3,725","4,682",19.16%,79.56%
,Carroll,786,"3,706","4,532",17.34%,81.77%
,Chariton,916,"3,111","4,076",22.47%,76.32%
,Clark,678,"2,672","3,394",19.98%,78.73%
,Clay (pt.),"39,959","49,038","90,713",44.05%,54.06%
,Clinton,"2,896","7,799","10,888",26.60%,71.63%
,Daviess,746,"3,102","3,909",19.08%,79.36%
,De Kalb,930,"3,828","4,843",19.20%,79.04%
,Gentry,613,"2,581","3,235",18.95%,79.78%
,Grundy,799,"3,585","4,437",18.01%,80.80%
,Harrison,597,"3,198","3,825",15.61%,83.61%
,Holt,338,"1,976","2,343",14.43%,84.34%
,Jackson (pt.),"21,072","27,511","49,551",42.52%,55.52%
,Knox,340,"1,486","1,854",18.34%,80.15%
,Lewis,984,"3,553","4,609",21.35%,77.09%
,Linn,"1,275","4,363","5,721",22.29%,76.26%
,Livingston,"1,410","5,267","6,757",20.87%,77.95%
,Macon,"1,662","6,076","7,836",21.21%,77.54%
,Marion,"3,202","9,915","13,345",23.99%,74.30%
,Mercer,222,"1,541","1,779",12.48%,86.62%
,Monroe,936,"3,477","4,483",20.88%,77.56%
,Nodaway,"2,853","6,865","9,888",28.85%,69.43%
,Pike,"1,717","5,863","7,695",22.31%,76.19%
,Platte,"27,179","28,917","57,249",47.48%,50.51%
,Putnam,361,"1,984","2,361",15.29%,84.03%
,Ralls,"1,205","4,396","5,662",21.28%,77.64%
,Schuyler,373,"1,606","2,003",18.62%,80.18%
,Scotland,388,"1,560","1,984",19.56%,78.63%
,Shelby,592,"2,700","3,350",17.67%,80.60%
,Sullivan,478,"1,974","2,471",19.34%,79.89%
,Worth,215,877,"1,107",19.42%,79.22%
6 Total,,"137,268","248,374","392,499",34.97%,63.28%
7,Barry,"2,948","12,425","15,598",18.90%,79.66%
,Christian,"11,131","34,920","46,825",23.77%,74.58%
,Greene,"55,068","83,630","141,748",38.85%,59.00%
,Jasper,"13,549","37,728","52,346",25.88%,72.07%
,Lawrence,"3,214","14,426","17,905",17.95%,80.57%
,McDonald,"1,439","7,465","9,052",15.90%,82.47%
,Newton,"5,818","22,120","28,390",20.49%,77.91%
,Polk,"2,885","11,850","15,062",19.15%,78.67%
,Stone,"3,506","14,800","18,483",18.97%,80.07%
,Taney,"5,339","20,508","26,269",20.32%,78.07%
,Webster (pt.),958,"3,751","4,787",20.01%,78.35%
7 Total,,"105,855","263,623","376,465",28.12%,70.03%
8,Bollinger,750,"5,167","5,983",12.54%,86.36%
,Butler,"3,301","14,602","18,140",18.20%,80.50%
,Cape Girardeau,"10,760","28,907","40,309",26.69%,71.71%
,Carter,418,"2,451","2,897",14.43%,84.60%
,Crawford,"2,113","8,725","10,973",19.26%,79.51%
,Dent,"1,056","5,987","7,142",14.79%,83.83%
,Douglas,"1,016","5,898","7,000",14.51%,84.26%
,Dunklin,"2,200","8,135","10,419",21.12%,78.08%
,Howell,"3,218","15,181","18,648",17.26%,81.41%
,Iron,945,"3,596","4,592",20.58%,78.31%
,Jefferson (pt.),"9,016","22,637","32,185",28.01%,70.33%
,Madison,"1,019","4,584","5,676",17.95%,80.76%
,Mississippi,"1,178","3,537","4,756",24.77%,74.37%
,New Madrid,"1,748","5,447","7,248",24.12%,75.15%
,Oregon,823,"3,847","4,739",17.37%,81.18%
,Ozark,752,"4,064","4,864",15.46%,83.55%
,Pemiscot,"1,560","4,120","5,735",27.20%,71.84%
,Perry,"1,664","7,657","9,447",17.61%,81.05%
,Phelps,"5,637","13,480","19,557",28.82%,68.93%
,Reynolds,529,"2,733","3,298",16.04%,82.87%
,Ripley,833,"4,839","5,717",14.57%,84.64%
,Scott,"3,753","13,769","17,718",21.18%,77.71%
,Shannon,706,"3,165","3,906",18.07%,81.03%
,St. Francois,"7,044","20,511","28,001",25.16%,73.25%
,Ste. Genevieve,"2,713","6,630","9,484",28.61%,69.91%
,Stoddard,"1,819","11,484","13,426",13.55%,85.54%
,Texas,"1,716","9,478","11,315",15.17%,83.76%
,Washington,"1,804","8,047","9,972",18.09%,80.70%
,Wayne,845,"4,987","5,878",14.38%,84.84%
,Wright,"1,168","7,453","8,739",13.37%,85.28%
8 Total,,"72,104","261,118","337,764",21.35%,77.31%
Grand Total,,"1,253,014","1,718,736","3,025,157",41.42%,56.81%
