CD,County,Biden,Trump,Total,Biden%,Trump%
1,Clark (pt.),"143,424","84,976","233,349",61.46%,36.42%
1 Total,,"143,424","84,976","233,349",61.46%,36.42%
2,Carson City,"12,735","16,113","29,739",42.82%,54.18%
,Churchill,"3,051","9,372","12,890",23.67%,72.71%
,Douglas,"11,571","21,630","34,125",33.91%,63.38%
,Elko,"4,557","16,741","21,967",20.74%,76.21%
,Eureka,105,895,"1,017",10.32%,88.00%
,Humboldt,"1,689","5,877","7,771",21.73%,75.63%
,Lander,496,"2,198","2,765",17.94%,79.49%
,Lyon (pt.),"7,243","17,030","25,004",28.97%,68.11%
,Pershing,547,"1,731","2,320",23.58%,74.61%
,Storey,902,"1,908","2,877",31.35%,66.32%
,Washoe,"128,128","116,760","252,142",50.82%,46.31%
2 Total,,"171,024","210,255","392,617",43.56%,53.55%
3,Clark (pt.),"214,181","213,302","435,797",49.15%,48.95%
3 Total,,"214,181","213,302","435,797",49.15%,48.95%
4,Clark (pt.),"164,247","132,653","303,365",54.14%,43.73%
,Esmeralda,74,400,487,15.20%,82.14%
,Lincoln,330,"2,067","2,446",13.49%,84.51%
,Lyon (pt.),"1,230","3,884","5,234",23.50%,74.22%
,Mineral,829,"1,423","2,335",35.50%,60.94%
,Nye,"7,288","17,528","25,378",28.72%,69.07%
,White Pine,859,"3,403","4,369",19.66%,77.89%
4 Total,,"174,857","161,358","343,613",50.89%,46.96%
Grand Total,,"703,486","669,890","1,405,376",50.06%,47.67%
