CD,County,Biden,Trump,Total,Biden%,Trump%
1,Burlington (pt.),"8,168","5,086","13,430",60.82%,37.87%
,Camden (pt.),"172,542","82,618","258,415",66.77%,31.97%
,Gloucester (pt.),"61,504","55,118","118,368",51.96%,46.56%
1 Total,,"242,214","142,822","390,213",62.07%,36.60%
2,Atlantic,"73,808","64,438","140,031",52.71%,46.02%
,Burlington (pt.),384,860,"1,260",30.48%,68.25%
,Camden (pt.),"2,523","3,589","6,201",40.69%,57.88%
,Cape May,"23,941","33,158","57,714",41.48%,57.45%
,Cumberland,"32,742","28,952","62,408",52.46%,46.39%
,Gloucester (pt.),"25,198","28,222","54,286",46.42%,51.99%
,Ocean (pt.),"10,175","16,320","26,863",37.88%,60.75%
,Salem,"14,479","18,827","33,922",42.68%,55.50%
2 Total,,"183,250","194,366","382,685",47.89%,50.79%
3,Burlington (pt.),"146,043","97,399","246,806",59.17%,39.46%
,Ocean (pt.),"71,179","120,617","194,556",36.59%,62.00%
3 Total,,"217,222","218,016","441,362",49.22%,49.40%
4,Mercer (pt.),"32,043","25,210","58,054",55.20%,43.43%
,Monmouth (pt.),"121,128","130,883","255,412",47.42%,51.24%
,Ocean (pt.),"38,102","80,803","120,097",31.73%,67.28%
4 Total,,"191,273","236,896","433,563",44.12%,54.64%
5,Bergen (pt.),"177,822","130,760","312,159",56.97%,41.89%
,Passaic (pt.),"9,762","13,218","23,425",41.67%,56.43%
,Sussex (pt.),"21,590","35,121","57,888",37.30%,60.67%
,Warren (pt.),"15,763","23,320","39,824",39.58%,58.56%
5 Total,,"224,937","202,419","433,296",51.91%,46.72%
6,Middlesex (pt.),"131,301","77,994","211,839",61.98%,36.82%
,Monmouth (pt.),"60,163","60,925","122,739",49.02%,49.64%
6 Total,,"191,464","138,919","334,578",57.23%,41.52%
7,Essex (pt.),"8,559","2,953","11,659",73.41%,25.33%
,Hunterdon,"39,457","43,153","84,242",46.84%,51.23%
,Morris (pt.),"35,323","34,991","71,387",49.48%,49.02%
,Somerset (pt.),"80,132","58,271","140,499",57.03%,41.47%
,Union (pt.),"66,496","44,431","112,410",59.15%,39.53%
,Warren (pt.),"9,138","11,449","20,963",43.59%,54.62%
7 Total,,"239,105","195,248","441,160",54.20%,44.26%
8,Bergen (pt.),"2,321","1,467","3,828",60.63%,38.32%
,Essex (pt.),"32,326","12,812","45,496",71.05%,28.16%
,Hudson (pt.),"123,990","44,926","170,894",72.55%,26.29%
,Union (pt.),"24,326","10,002","34,584",70.34%,28.92%
8 Total,,"182,963","69,207","254,802",71.81%,27.16%
9,Bergen (pt.),"105,824","72,190","179,862",58.84%,40.14%
,Hudson (pt.),"9,825","7,161","17,151",57.29%,41.75%
,Passaic (pt.),"84,370","39,025","124,610",67.71%,31.32%
9 Total,,"200,019","118,376","321,623",62.19%,36.81%
10,Essex (pt.),"154,363","14,179","169,840",90.89%,8.35%
,Hudson (pt.),"47,637","13,611","61,805",77.08%,22.02%
,Union (pt.),"52,725","17,521","70,903",74.36%,24.71%
10 Total,,"254,725","45,311","302,548",84.19%,14.98%
11,Essex (pt.),"71,572","45,531","118,316",60.49%,38.48%
,Morris (pt.),"118,558","106,143","227,935",52.01%,46.57%
,Passaic (pt.),"34,965","39,766","75,672",46.21%,52.55%
,Sussex (pt.),"12,891","16,577","30,072",42.87%,55.12%
11 Total,,"237,986","208,017","451,995",52.65%,46.02%
12,Mercer (pt.),"90,489","26,431","118,550",76.33%,22.30%
,Middlesex (pt.),"94,949","65,473","162,523",58.42%,40.29%
,Somerset (pt.),"31,041","13,725","45,360",68.43%,30.26%
,Union (pt.),"26,698","8,048","35,094",76.08%,22.93%
12 Total,,"243,177","113,677","361,527",67.26%,31.44%
Grand Total,,"2,608,335","1,883,274","4,549,353",57.33%,41.40%
