CD,County,Biden,Trump,Total,Biden%,Trump%
1,Bernalillo (pt.),"184,664","108,912","300,783",61.39%,36.21%
,Sandoval (pt.),"7,485","5,337","12,986",57.64%,41.10%
,Santa Fe (pt.),"1,215","1,995","3,369",36.07%,59.23%
,Torrance,"2,344","4,772","7,281",32.19%,65.54%
,Valencia (pt.),"1,586","1,669","3,298",48.08%,50.60%
1 Total,,"197,294","122,685","327,717",60.20%,37.44%
2,Bernalillo (pt.),767,271,"1,048",73.18%,25.86%
,Catron,595,"1,698","2,326",25.58%,73.00%
,Chaves,"6,381","15,656","22,443",28.43%,69.76%
,Cibola,"4,745","3,975","8,903",53.30%,44.65%
,De Baca,231,656,901,25.64%,72.81%
,Dona Ana,"47,957","32,802","82,641",58.03%,39.69%
,Eddy,"5,424","17,454","23,222",23.36%,75.16%
,Grant,"7,590","6,553","14,435",52.58%,45.40%
,Guadalupe,"1,234",917,"2,189",56.37%,41.89%
,Hidalgo,823,"1,120","1,974",41.69%,56.74%
,Lea,"4,061","16,531","20,918",19.41%,79.03%
,Lincoln,"3,194","6,942","10,306",30.99%,67.36%
,Luna,"3,563","4,408","8,103",43.97%,54.40%
,McKinley (pt.),"2,167",351,"2,536",85.43%,13.84%
,Otero,"8,485","14,521","23,571",36.00%,61.61%
,Roosevelt (pt.),654,"2,261","2,977",21.96%,75.95%
,Sierra,"2,265","3,542","5,945",38.10%,59.58%
,Socorro,"3,722","3,255","7,160",51.98%,45.46%
,Valencia (pt.),"12,677","15,695","28,979",43.75%,54.16%
2 Total,,"116,535","148,608","270,577",43.07%,54.92%
3,Bernalillo (pt.),"8,326","6,952","15,759",52.83%,44.11%
,Colfax,"2,611","3,271","6,016",43.40%,54.37%
,Curry,"4,307","10,444","15,101",28.52%,69.16%
,Harding,179,319,505,35.45%,63.17%
,Los Alamos,"7,554","4,278","12,293",61.45%,34.80%
,McKinley (pt.),"15,862","7,450","23,950",66.23%,31.11%
,Mora,"1,745",903,"2,686",64.97%,33.62%
,Quay,"1,170","2,634","3,873",30.21%,68.01%
,Rio Arriba,"10,990","5,408","16,628",66.09%,32.52%
,Roosevelt (pt.),"1,148","2,373","3,631",31.63%,65.35%
,San Juan,"18,083","32,874","52,294",34.58%,62.86%
,San Miguel,"7,888","3,421","11,531",68.41%,29.67%
,Sandoval (pt.),"33,103","28,837","63,576",52.07%,45.36%
,Santa Fe (pt.),"61,315","16,334","78,858",77.75%,20.71%
,Taos,"13,121","3,715","17,181",76.37%,21.62%
,Union,383,"1,388","1,789",21.41%,77.59%
3 Total,,"187,785","130,600","325,671",57.66%,40.10%
Grand Total,,"501,614","401,894","923,965",54.29%,43.50%
