CD,County,Biden,Trump,Total,Biden%,Trump%
1,Suffolk (pt.),"182,793","198,826","386,329",47.32%,51.47%
1 Total,,"182,793","198,826","386,329",47.32%,51.47%
2,Nassau (pt.),"43,689","65,676","110,612",39.50%,59.38%
,Suffolk (pt.),"125,090","117,528","245,512",50.95%,47.87%
2 Total,,"168,779","183,204","356,124",47.39%,51.44%
3,Nassau (pt.),"110,559","87,716","200,235",55.21%,43.81%
,NYC - Queens (pt.),"32,550","22,474","55,501",58.65%,40.49%
,Suffolk (pt.),"73,138","64,899","139,700",52.35%,46.46%
3 Total,,"216,247","175,089","395,436",54.69%,44.28%
4,Nassau (pt.),"211,700","165,073","380,697",55.61%,43.36%
4 Total,,"211,700","165,073","380,697",55.61%,43.36%
5,Nassau (pt.),"30,556","8,251","39,095",78.16%,21.11%
,NYC - Queens (pt.),"198,903","36,244","236,413",84.13%,15.33%
5 Total,,"229,459","44,495","275,508",83.29%,16.15%
6,NYC - Queens (pt.),"152,725","92,371","247,255",61.77%,37.36%
6 Total,,"152,725","92,371","247,255",61.77%,37.36%
7,NYC - Brooklyn (pt.),"140,222","26,686","168,399",83.27%,15.85%
,NYC - Manhattan (pt.),"25,424","5,502","31,200",81.49%,17.63%
,NYC - Queens (pt.),"25,165","8,178","33,622",74.85%,24.32%
7 Total,,"190,811","40,366","233,221",81.82%,17.31%
8,NYC - Brooklyn (pt.),"225,199","37,106","264,046",85.29%,14.05%
,NYC - Queens (pt.),"9,761","9,605","19,508",50.04%,49.24%
8 Total,,"234,960","46,711","283,554",82.86%,16.47%
9,NYC - Brooklyn (pt.),"232,347","50,873","285,350",81.43%,17.83%
9 Total,,"232,347","50,873","285,350",81.43%,17.83%
10,NYC - Brooklyn (pt.),"33,550","43,246","77,415",43.34%,55.86%
,NYC - Manhattan (pt.),"184,591","22,365","209,112",88.27%,10.70%
10 Total,,"218,141","65,611","286,527",76.13%,22.90%
11,NYC - Brooklyn (pt.),"41,369","40,537","82,710",50.02%,49.01%
,NYC - Staten Island,"90,997","123,320","216,153",42.10%,57.05%
11 Total,,"132,366","163,857","298,863",44.29%,54.83%
12,NYC - Brooklyn (pt.),"30,623","4,324","35,326",86.69%,12.24%
,NYC - Manhattan (pt.),"205,187","36,650","244,347",83.97%,15.00%
,NYC - Queens (pt.),"44,202","8,363","53,147",83.17%,15.74%
12 Total,,"280,012","49,337","332,820",84.13%,14.82%
13,NYC - Bronx (pt.),"45,396","8,858","54,627",83.10%,16.22%
,NYC - Manhattan (pt.),"187,838","20,668","210,245",89.34%,9.83%
13 Total,,"233,234","29,526","264,872",88.06%,11.15%
14,NYC - Bronx (pt.),"56,241","21,744","78,568",71.58%,27.68%
,NYC - Queens (pt.),"105,732","35,430","142,414",74.24%,24.88%
14 Total,,"161,973","57,174","220,982",73.30%,25.87%
15,NYC - Bronx (pt.),"171,328","25,855","198,198",86.44%,13.05%
