CD,County,Biden,Trump,Total,Biden%,Trump%
1,Hamilton (pt.),"139,878","110,445","254,131",55.04%,43.46%
,Warren,"46,069","87,988","136,095",33.85%,64.65%
1 Total,,"185,947","198,433","390,226",47.65%,50.85%
2,Adams,"2,156","9,870","12,145",17.75%,81.27%
,Brown,"4,380","16,480","21,096",20.76%,78.12%
,Clermont,"34,092","74,570","110,446",30.87%,67.52%
,Hamilton (pt.),"106,388","67,441","176,621",60.24%,38.18%
,Highland,"3,799","15,678","19,672",19.31%,79.70%
,Pike,"3,110","9,157","12,412",25.06%,73.78%
,Ross (pt.),"6,511","11,371","18,145",35.88%,62.67%
,Scioto (pt.),"5,157","10,033","15,379",33.54%,65.24%
2 Total,,"165,593","214,600","385,916",42.91%,55.61%
3,Franklin (pt.),"231,278","93,890","330,494",69.98%,28.41%
3 Total,,"231,278","93,890","330,494",69.98%,28.41%
4,Allen,"14,149","33,116","47,993",29.48%,69.00%
,Auglaize,"4,651","20,798","25,773",18.05%,80.70%
,Champaign,"5,062","14,589","19,966",25.35%,73.07%
,Crawford,"4,916","15,436","20,683",23.77%,74.63%
,Erie (pt.),"2,234","4,519","6,884",32.45%,65.64%
,Huron (pt.),"4,778","9,463","14,511",32.92%,65.21%
,Logan,"5,055","17,964","23,360",21.64%,76.90%
,Lorain (pt.),"27,528","26,190","54,564",50.45%,48.00%
,Marion (pt.),"7,097","15,419","22,978",30.89%,67.10%
,Mercer (pt.),398,"1,578","1,993",19.98%,79.18%
,Sandusky,"10,596","18,896","30,072",35.24%,62.84%
,Seneca,"8,266","17,086","25,803",32.04%,66.22%
,Shelby,"4,465","20,422","25,248",17.68%,80.89%
,Union,"11,141","21,669","33,445",33.31%,64.79%
4 Total,,"110,336","237,144","353,273",31.23%,67.13%
5,Defiance,"5,981","13,038","19,369",30.88%,67.31%
,Fulton,"6,664","15,731","22,765",29.27%,69.10%
,Hancock,"11,757","26,310","38,757",30.34%,67.88%
,Hardin,"3,062","9,949","13,247",23.11%,75.10%
,Henry,"4,062","10,479","14,760",27.52%,71.00%
,Lucas (pt.),"56,959","53,992","112,829",50.48%,47.85%
,Mercer (pt.),"2,362","8,627","11,152",21.18%,77.36%
,Ottawa (pt.),"4,014","6,817","11,045",36.34%,61.72%
,Paulding,"2,213","7,086","9,461",23.39%,74.90%
,Putnam,"3,195","16,412","19,915",16.04%,82.41%
