CD,County,Biden,Trump,Total,Biden%,Trump%
1,Clatsop,"12,916","10,218","23,764",54.35%,43.00%
,Columbia,"13,835","17,150","32,017",43.21%,53.57%
,Multnomah (pt.),"34,888","4,816","40,480",86.19%,11.90%
,Washington,"209,940","99,073","317,470",66.13%,31.21%
,Yamhill,"27,174","29,551","58,546",46.41%,50.47%
1 Total,,"298,753","160,808","472,277",63.26%,34.05%
2,Baker,"2,346","7,352","9,891",23.72%,74.33%
,Crook,"3,801","11,287","15,377",24.72%,73.40%
,Deschutes,"65,962","55,646","124,284",53.07%,44.77%
,Gilliam,324,834,"1,176",27.55%,70.92%
,Grant,929,"3,545","4,574",20.31%,77.50%
,Harney,894,"3,475","4,450",20.09%,78.09%
,Hood River,"8,764","3,955","12,998",67.43%,30.43%
,Jackson,"59,478","63,869","126,421",47.05%,50.52%
,Jefferson,"4,393","7,189","11,873",37.00%,60.55%
,Josephine (pt.),"11,553","20,260","32,528",35.52%,62.28%
,Klamath,"10,388","25,308","36,556",28.42%,69.23%
,Lake,792,"3,470","4,343",18.24%,79.90%
,Malheur,"3,260","8,187","11,753",27.74%,69.66%
,Morrow,"1,371","3,586","5,101",26.88%,70.30%
,Sherman,260,921,"1,207",21.54%,76.30%
,Umatilla,"10,707","21,270","32,861",32.58%,64.73%
,Union,"4,254","10,298","14,870",28.61%,69.25%
,Wallowa,"1,625","3,404","5,131",31.67%,66.34%
,Wasco,"6,604","7,035","14,037",47.05%,50.12%
,Wheeler,217,711,960,22.60%,74.06%
2 Total,,"197,922","261,602","470,391",42.08%,55.61%
3,Clackamas (pt.),"27,988","35,537","65,128",42.97%,54.57%
,Multnomah (pt.),"328,671","77,018","414,654",79.26%,18.57%
3 Total,,"356,659","112,556","479,782",74.34%,23.46%
4,Benton (pt.),"31,382","10,927","43,687",71.83%,25.01%
,Coos,"14,243","21,829","36,896",38.60%,59.16%
,Curry,"6,058","8,484","14,854",40.78%,57.12%
,Douglas,"19,160","43,298","64,043",29.92%,67.61%
,Josephine (pt.),"6,898","11,491","18,812",36.67%,61.08%
,Lane,"134,366","80,336","220,526",60.93%,36.43%
,Linn,"26,512","43,486","72,144",36.75%,60.28%
4 Total,,"238,619","219,851","470,962",50.67%,46.68%
5,Benton (pt.),"4,445","3,951","8,638",51.46%,45.74%
,Clackamas (pt.),"111,055","74,972","190,600",58.27%,39.33%
,Lincoln,"17,385","12,460","30,586",56.84%,40.74%
,Marion,"80,872","79,002","164,308",49.22%,48.08%
,Multnomah (pt.),"3,690","1,161","4,954",74.48%,23.43%
,Polk,"22,917","23,732","47,932",47.81%,49.51%
,Tillamook,"8,066","8,354","16,802",48.01%,49.72%
5 Total,,"248,430","203,631","463,820",53.56%,43.90%
Grand Total,,"1,340,383","958,448","2,357,232",56.86%,40.66%
