CD,Town,Biden,Trump,Total,Biden%,Trump%
1,Barrington,"7,751","2,891","10,794",71.81%,26.78%
,Bristol,"6,847","4,598","11,634",58.85%,39.52%
,Central Falls,"3,088","1,114","4,272",72.29%,26.07%
,Cumberland,"10,922","8,424","19,636",55.63%,42.90%
,East Providence,"14,807","7,935","23,099",64.10%,34.35%
,Jamestown,"2,809","1,213","4,080",68.85%,29.73%
,Lincoln,"6,666","5,783","12,637",52.75%,45.76%
,Little Compton,"1,531",952,"2,525",60.65%,37.69%
,Middletown,"5,556","2,887","8,593",64.66%,33.59%
,Newport,"7,905","2,664","10,692",73.93%,24.91%
,North Providence,"9,484","7,134","16,837",56.33%,42.37%
,North Smithfield,"3,524","3,552","7,192",49.00%,49.39%
,Pawtucket,"18,142","7,262","25,761",70.42%,28.19%
,Portsmouth,"6,682","3,998","10,880",61.41%,36.74%
,Providence (pt.),"27,107","4,902","32,401",83.66%,15.13%
,Smithfield,"5,593","5,748","11,503",48.62%,49.97%
,Tiverton,"5,148","4,020","9,288",55.43%,43.28%
,Warren,"3,541","2,263","5,907",59.95%,38.30%
,Woonsocket,"7,325","6,269","13,831",52.96%,45.33%
1 Total,,"154,430","83,607","241,561",63.93%,34.61%
2,Burrillville,"3,446","4,907","8,514",40.47%,57.64%
,Charlestown,"2,919","2,199","5,204",56.09%,42.25%
,Coventry,"9,154","10,464","19,949",45.89%,52.45%
,Cranston,"23,118","17,317","40,934",56.47%,42.30%
,East Greenwich,"5,236","3,228","8,593",60.93%,37.56%
,Exeter,"1,981","2,010","4,066",48.71%,49.42%
,Foster,"1,228","1,582","2,861",42.93%,55.32%
,Glocester,"2,647","3,352","6,085",43.50%,55.08%
,Hopkinton,"2,306","2,424","4,831",47.73%,50.17%
,Johnston,"6,861","8,224","15,231",45.05%,54.00%
,Narragansett,"5,351","3,552","8,987",59.54%,39.52%
,New Shoreham,751,195,951,78.95%,20.52%
,North Kingstown,"10,570","6,635","17,491",60.43%,37.93%
,Providence (pt.),"19,031","5,288","24,655",77.19%,21.45%
,Richmond,"2,354","2,344","4,796",49.09%,48.87%
,Scituate,"2,744","3,807","6,655",41.23%,57.20%
,South Kingstown,"11,292","5,004","16,607",68.00%,30.13%
,Warwick,"25,933","19,583","46,264",56.05%,42.33%
,West Greenwich,"1,699","2,243","3,993",42.54%,56.16%
,West Warwick,"7,259","6,495","13,955",52.02%,46.54%
,Westerly,"7,177","5,464","12,816",56.00%,42.64%
2 Total,,"153,056","116,315","273,437",55.97%,42.54%
Grand Total,,"307,486","199,922","514,998",59.71%,38.82%
