CD,County,Biden,Trump,Total,Biden%,Trump%
1,Beaufort (pt.),"39,990","51,189","92,334",43.31%,55.44%
,Berkeley (pt.),"38,033","52,378","92,112",41.29%,56.86%
,Charleston (pt.),"89,917","82,041","175,268",51.30%,46.81%
,Colleton (pt.),248,698,954,26.00%,73.16%
,Dorchester (pt.),"29,100","36,402","66,926",43.48%,54.39%
1 Total,,"197,288","222,708","427,594",46.14%,52.08%
2,Aiken,"32,275","51,589","85,185",37.89%,60.56%
,Barnwell,"4,720","5,492","10,321",45.73%,53.21%
,Lexington,"49,301","92,817","144,568",34.10%,64.20%
,Orangeburg (pt.),"4,422","4,561","9,040",48.91%,50.45%
,Richland (pt.),"68,230","45,752","115,821",58.91%,39.50%
2 Total,,"158,948","200,210","364,935",43.56%,54.86%
3,Abbeville,"4,101","8,215","12,433",32.98%,66.07%
,Anderson,"27,169","67,565","96,093",28.27%,70.31%
,Edgefield,"4,953","8,184","13,304",37.23%,61.52%
,Greenville (pt.),"13,024","20,524","34,141",38.15%,60.12%
,Greenwood,"12,145","19,431","32,006",37.95%,60.71%
,Laurens,"10,159","20,004","30,488",33.32%,65.61%
,McCormick,"2,687","2,958","5,697",47.17%,51.92%
,Newberry (pt.),"1,071","2,362","3,469",30.89%,68.09%
,Oconee,"10,414","29,698","40,668",25.61%,73.03%
,Pickens,"13,645","42,907","57,546",23.71%,74.56%
,Saluda,"2,963","6,210","9,274",31.95%,66.96%
3 Total,,"102,331","228,058","335,118",30.54%,68.05%
4,Greenville (pt.),"90,006","129,497","224,014",40.18%,57.81%
,Spartanburg (pt.),"50,933","85,740","138,729",36.71%,61.80%
4 Total,,"140,939","215,237","362,743",38.85%,59.34%
5,Cherokee,"6,983","18,043","25,270",27.63%,71.40%
,Chester,"6,941","8,660","15,757",44.05%,54.96%
,Fairfield,"7,382","4,625","12,136",60.83%,38.11%
,Kershaw,"12,699","20,471","33,629",37.76%,60.87%
,Lancaster,"18,937","30,312","49,868",37.97%,60.78%
,Lee,"5,329","3,008","8,431",63.21%,35.68%
,Newberry (pt.),"5,887","9,081","15,162",38.82%,59.89%
,Spartanburg (pt.),"1,993","7,820","9,926",20.08%,78.78%
,Sumter (pt.),"20,759","19,059","40,272",51.55%,47.32%
,Union,"4,935","8,183","13,257",37.23%,61.73%
,York,"59,008","82,727","144,050",40.96%,57.43%
5 Total,,"150,853","211,989","367,759",41.02%,57.64%
6,Allendale,"2,718",835,"3,593",75.65%,23.24%
,Bamberg,"4,010","2,417","6,482",61.86%,37.29%
,Beaufort (pt.),"3,429","2,005","5,501",62.34%,36.44%
,Berkeley (pt.),"7,190","5,019","12,346",58.24%,40.65%
,Calhoun,"3,905","4,305","8,291",47.10%,51.92%
,Charleston (pt.),"31,568","11,256","43,589",72.42%,25.82%
,Clarendon,"8,250","8,361","16,733",49.30%,49.97%
,Colleton (pt.),"8,354","9,742","18,329",45.58%,53.15%
,Dorchester (pt.),"4,724","5,511","10,352",45.64%,53.24%
,Florence (pt.),"3,636","2,680","6,381",56.98%,42.00%
,Hampton,"5,323","3,906","9,305",57.21%,41.98%
,Jasper,"7,185","7,078","14,394",49.92%,49.17%
,Orangeburg (pt.),"22,873","9,042","32,165",71.11%,28.11%
,Richland (pt.),"64,340","12,561","78,001",82.49%,16.10%
,Sumter (pt.),"6,620","1,941","8,648",76.55%,22.45%
,Williamsburg,"10,289","5,532","15,985",64.37%,34.61%
6 Total,,"194,414","92,192","290,095",67.02%,31.78%
7,Chesterfield,"7,431","11,297","18,876",39.37%,59.85%
,Darlington,"15,220","16,832","32,417",46.95%,51.92%
,Dillon,"6,436","6,582","13,101",49.13%,50.24%
,Florence (pt.),"27,517","29,935","58,129",47.34%,51.50%
,Georgetown,"15,822","20,487","36,668",43.15%,55.87%
,Horry,"59,180","118,821","179,744",32.92%,66.11%
,Marion,"8,872","5,711","14,704",60.34%,38.84%
,Marlboro,"6,290","5,044","11,446",54.95%,44.07%
7 Total,,"146,768","214,709","365,085",40.20%,58.81%
Grand Total,,"1,091,541","1,385,103","2,513,329",43.43%,55.11%
