CD,County,Biden,Trump,Total,Biden%,Trump%
1,Carter,"4,529","19,584","24,488",18.49%,79.97%
,Cocke,"2,533","12,162","14,859",17.05%,81.85%
,Greene,"5,199","22,259","28,086",18.51%,79.25%
,Hamblen,"5,500","18,811","24,631",22.33%,76.37%
,Hancock,362,"2,372","2,744",13.19%,86.44%
,Hawkins,"4,083","20,405","24,824",16.45%,82.20%
,Jefferson (pt.),765,"3,939","4,757",16.08%,82.81%
,Johnson,"1,246","6,468","7,799",15.98%,82.93%
,Sevier,"8,721","33,783","43,533",20.03%,77.60%
,Sullivan,"17,272","55,860","74,338",23.23%,75.14%
,Unicoi,"1,615","6,599","8,306",19.44%,79.45%
,Washington,"18,638","40,444","60,191",30.96%,67.19%
1 Total,,"70,463","242,686","318,556",22.12%,76.18%
2,Blount,"17,932","47,369","66,581",26.93%,71.14%
,Campbell (pt.),369,"1,487","1,867",19.76%,79.65%
,Claiborne,"2,202","10,604","12,943",17.01%,81.93%
,Grainger,"1,467","8,565","10,133",14.48%,84.53%
,Jefferson (pt.),"3,889","14,712","18,856",20.62%,78.02%
,Knox,"91,422","124,540","220,401",41.48%,56.51%
,Loudon,"6,948","21,713","29,340",23.68%,74.00%
2 Total,,"124,229","228,990","360,121",34.50%,63.59%
3,Anderson,"11,741","23,184","35,557",33.02%,65.20%
,Bradley (pt.),"2,063","10,371","12,645",16.32%,82.02%
,Campbell (pt.),"2,072","10,844","13,066",15.86%,82.99%
,Hamilton,"75,522","92,108","171,016",44.16%,53.86%
,McMinn,"4,361","18,198","22,843",19.09%,79.67%
,Monroe,"3,764","16,783","20,795",18.10%,80.71%
,Morgan,"1,167","6,930","8,228",14.18%,84.22%
,Polk,"1,492","6,792","8,360",17.85%,81.24%
,Roane,"6,043","19,230","25,914",23.32%,74.21%
,Scott,986,"8,004","9,052",10.89%,88.42%
,Union,"1,249","6,803","8,123",15.38%,83.75%
3 Total,,"110,460","219,247","335,599",32.91%,65.33%
4,Bedford,"4,453","14,354","19,086",23.33%,75.21%
,Bledsoe,971,"4,725","5,758",16.86%,82.06%
