CD,County,Biden,Trump,Total,Biden%,Trump%
1,Angelina,"9,143","25,076","34,568",26.45%,72.54%
,Gregg,"14,796","32,493","47,953",30.86%,67.76%
,Harrison,"7,908","21,466","29,710",26.62%,72.25%
,Nacogdoches,"9,000","17,378","26,763",33.63%,64.93%
,Panola,"2,057","9,326","11,451",17.96%,81.44%
,Rusk,"4,629","16,534","21,368",21.66%,77.38%
,Sabine,669,"4,784","5,487",12.19%,87.19%
,San Augustine,980,"3,007","4,002",24.49%,75.14%
,Shelby,"2,068","7,975","10,084",20.51%,79.09%
,Smith,"29,615","69,080","100,075",29.59%,69.03%
,Upshur (pt.),988,"4,287","5,347",18.48%,80.18%
,Wood (pt.),"1,376","7,294","8,747",15.73%,83.39%
1 Total,,"83,229","218,700","305,555",27.24%,71.57%
2,Harris (pt.),"170,430","174,980","350,446",48.63%,49.93%
2 Total,,"170,430","174,980","350,446",48.63%,49.93%
3,Collin (pt.),"209,859","214,359","430,583",48.74%,49.78%
3 Total,,"209,859","214,359","430,583",48.74%,49.78%
4,Bowie,"10,747","27,116","38,254",28.09%,70.88%
,Camp,"1,394","3,626","5,058",27.56%,71.69%
,Cass,"2,795","11,033","13,924",20.07%,79.24%
,Collin (pt.),"8,713","22,564","31,759",27.43%,71.05%
,Delta,403,"2,162","2,592",15.55%,83.41%
,Fannin,"2,655","12,171","15,004",17.70%,81.12%
,Franklin,804,"4,161","5,009",16.05%,83.07%
,Grayson,"14,506","44,163","59,439",24.40%,74.30%
,Hopkins,"3,046","12,719","15,939",19.11%,79.80%
,Hunt,"8,906","29,163","38,574",23.09%,75.60%
,Lamar,"4,458","16,760","21,418",20.81%,78.25%
,Marion,"1,339","3,470","4,864",27.53%,71.34%
,Morris,"1,669","3,872","5,587",29.87%,69.30%
,Rains,842,"5,155","6,053",13.91%,85.16%
,Red River,"1,246","4,517","5,806",21.46%,77.80%
,Rockwall,"16,412","36,726","53,870",30.47%,68.18%
,Titus,"2,856","7,570","10,539",27.10%,71.83%
,Upshur (pt.),"1,889","11,522","13,540",13.95%,85.10%
4 Total,,"84,680","258,470","347,229",24.39%,74.44%
5,Anderson,"3,955","15,110","19,221",20.58%,78.61%
,Cherokee,"4,210","15,101","19,508",21.58%,77.41%
,Dallas (pt.),"68,215","41,624","111,530",61.16%,37.32%
,Henderson,"7,060","28,911","36,310",19.44%,79.62%
,Kaufman,"18,405","37,624","56,703",32.46%,66.35%
,Van Zandt,"3,516","22,270","25,994",13.53%,85.67%
,Wood (pt.),"2,133","11,755","14,026",15.21%,83.81%
5 Total,,"107,494","172,395","283,292",37.94%,60.85%
6,Ellis,"27,565","56,717","85,456",32.26%,66.37%
,Navarro,"5,101","13,800","19,121",26.68%,72.17%
,Tarrant (pt.),"132,080","104,584","239,972",55.04%,43.58%
6 Total,,"164,746","175,101","344,549",47.81%,50.82%
7,Harris (pt.),"170,060","143,176","317,555",53.55%,45.09%
7 Total,,"170,060","143,176","317,555",53.55%,45.09%
8,Grimes,"2,833","9,432","12,413",22.82%,75.98%
,Harris (pt.),"16,629","25,484","42,720",38.93%,59.65%
,Houston,"2,314","7,060","9,437",24.52%,74.81%
,Leon (pt.),506,"3,582","4,119",12.28%,86.96%
,Madison,"1,088","4,169","5,297",20.54%,78.70%
,Montgomery,"74,377","193,382","271,451",27.40%,71.24%
,San Jacinto,"2,337","10,161","12,638",18.49%,80.40%
,Trinity,"1,323","5,579","6,938",19.07%,80.41%
,Walker,"7,884","15,375","23,609",33.39%,65.12%
8 Total,,"109,291","274,224","388,622",28.12%,70.56%
9,Fort Bend (pt.),"53,671","15,572","69,952",76.73%,22.26%
,Harris (pt.),"125,237","39,372","166,264",75.32%,23.68%
9 Total,,"178,908","54,944","236,216",75.74%,23.26%
10,Austin,"2,951","11,447","14,554",20.28%,78.65%
,Bastrop (pt.),"9,144","11,577","21,109",43.32%,54.84%
,Colorado,"2,420","7,472","9,961",24.29%,75.01%
,Fayette,"2,661","10,171","12,941",20.56%,78.60%
,Harris (pt.),"65,714","101,390","169,558",38.76%,59.80%
,Lee (pt.),"1,220","4,125","5,390",22.63%,76.53%
,Travis (pt.),"107,413","37,369","147,489",72.83%,25.34%
,Waller,"8,191","14,260","22,734",36.03%,62.73%
,Washington,"4,261","12,959","17,418",24.46%,74.40%
10 Total,,"203,975","210,770","421,154",48.43%,50.05%
11,Andrews,850,"4,943","5,863",14.50%,84.31%
,Brown,"2,107","13,698","15,963",13.20%,85.81%
,Callahan,734,"6,012","6,832",10.74%,88.00%
,Coke,178,"1,586","1,779",10.01%,89.15%
,Coleman,451,"3,641","4,124",10.94%,88.29%
,Comanche,853,"5,177","6,084",14.02%,85.09%
,Concho,197,"1,058","1,268",15.54%,83.44%
,Dawson,808,"2,951","3,789",21.32%,77.88%
,Eastland,983,"7,237","8,292",11.85%,87.28%
,Ector,"11,367","32,697","44,581",25.50%,73.34%
,Erath (pt.),"1,468","7,668","9,279",15.82%,82.64%
,Glasscock,39,611,653,5.97%,93.57%
,Hood,"5,648","26,496","32,534",17.36%,81.44%
,Irion,120,759,889,13.50%,85.38%
,Kimble,284,"1,987","2,292",12.39%,86.69%
,Llano,"2,465","10,079","12,659",19.47%,79.62%
,Martin,288,"1,857","2,160",13.33%,85.97%
,Mason,457,"1,991","2,469",18.51%,80.64%
,McCulloch,490,"2,904","3,436",14.26%,84.52%
