CD,County,Biden,Trump,Total,Biden%,Trump%
1,Box Elder,"4,473","21,548","27,023",16.55%,79.74%
,Cache,"16,650","38,032","57,534",28.94%,66.10%
,Daggett,111,496,619,17.93%,80.13%
,Davis (pt.),"32,398","66,925","104,451",31.02%,64.07%
,Duchesne,843,"7,513","8,524",9.89%,88.14%
,Morgan,"1,086","5,181","6,512",16.68%,79.56%
,Rich,180,"1,157","1,363",13.21%,84.89%
,Summit,"15,244","10,252","26,086",58.44%,39.30%
,Uintah,"1,663","13,261","15,303",10.87%,86.66%
,Weber,"40,695","65,949","111,403",36.53%,59.20%
1 Total,,"113,343","230,314","358,818",31.59%,64.19%
2,Beaver,357,"2,695","3,100",11.52%,86.94%
,Davis (pt.),"25,013","37,210","65,363",38.27%,56.93%
,Garfield,514,"2,158","2,732",18.81%,78.99%
,Iron,"4,892","18,989","24,890",19.65%,76.29%
,Juab (pt.),121,321,460,26.30%,69.78%
,Kane,"1,083","2,998","4,180",25.91%,71.72%
,Millard,624,"5,404","6,160",10.13%,87.73%
,Piute,86,773,871,9.87%,88.75%
,Salt Lake (pt.),"84,440","33,025","121,926",69.26%,27.09%
,Sanpete (pt.),838,"5,505","6,534",12.83%,84.25%
,Sevier,"1,084","9,052","10,362",10.46%,87.36%
,Tooele,"8,943","21,014","31,506",28.39%,66.70%
,Washington,"20,530","67,294","90,457",22.70%,74.39%
,Wayne,365,"1,229","1,621",22.52%,75.82%
2 Total,,"148,890","207,667","370,162",40.22%,56.10%
3,Carbon,"2,392","6,693","9,369",25.53%,71.44%
,Emery,572,"4,207","4,865",11.76%,86.47%
,Grand,"2,806","2,248","5,185",54.12%,43.36%
,Salt Lake (pt.),"55,206","49,546","108,416",50.92%,45.70%
,San Juan,"3,113","3,535","6,877",45.27%,51.40%
,Utah (pt.),"61,569","148,806","222,380",27.69%,66.92%
,Wasatch,"6,187","10,795","17,579",35.20%,61.41%
3 Total,,"131,845","225,830","374,671",35.19%,60.27%
4,Juab (pt.),524,"4,766","5,405",9.69%,88.18%
,Salt Lake (pt.),"150,260","147,603","310,624",48.37%,47.52%
,Sanpete (pt.),956,"4,954","6,091",15.70%,81.33%
,Utah (pt.),"14,464","44,006","61,906",23.36%,71.09%
4 Total,,"166,204","201,329","384,026",43.28%,52.43%
Grand Total,,"560,282","865,140","1,487,677",37.66%,58.15%
