CD,County,Biden,Trump,Total,Biden%,Trump%
1,King (pt.),"120,485","44,460","169,162",71.22%,26.28%
,Skagit (pt.),"14,367","12,960","28,126",51.08%,46.08%
,Snohomish (pt.),"90,315","72,161","167,406",53.95%,43.11%
,Whatcom (pt.),"32,464","36,879","71,085",45.67%,51.88%
1 Total,,"257,631","166,460","435,779",59.12%,38.20%
2,Island,"29,213","22,746","53,539",54.56%,42.48%
,San Juan,"9,725","3,057","13,090",74.29%,23.35%
,Skagit (pt.),"23,885","19,802","44,811",53.30%,44.19%
,Snohomish (pt.),"143,272","85,923","236,005",60.71%,36.41%
,Whatcom (pt.),"51,196","13,610","66,575",76.90%,20.44%
2 Total,,"257,291","145,138","414,020",62.14%,35.06%
3,Clark,"140,324","126,303","273,451",51.32%,46.19%
,Cowlitz,"23,938","34,424","59,969",39.92%,57.40%
,Klickitat,"5,959","7,237","13,481",44.20%,53.68%
,Lewis,"14,520","29,391","45,077",32.21%,65.20%
,Pacific,"6,794","6,953","14,017",48.47%,49.60%
,Skamania,"3,192","3,885","7,268",43.92%,53.45%
,Thurston (pt.),"2,537","4,457","7,227",35.10%,61.67%
,Wahkiakum,"1,165","1,741","2,972",39.20%,58.58%
3 Total,,"198,429","214,391","423,462",46.86%,50.63%
4,Adams,"1,814","3,907","5,836",31.08%,66.95%
,Benton,"38,706","60,365","102,307",37.83%,59.00%
,Douglas (pt.),"4,274","7,616","12,111",35.29%,62.88%
,Franklin,"13,340","18,039","32,226",41.40%,55.98%
,Grant,"11,819","24,764","37,475",31.54%,66.08%
,Okanogan,"8,900","11,840","21,152",42.08%,55.98%
,Walla Walla (pt.),659,"1,936","2,682",24.57%,72.18%
,Yakima,"43,179","50,555","95,713",45.11%,52.82%
4 Total,,"122,691","179,022","309,502",39.64%,57.84%
5,Asotin,"4,250","7,319","11,880",35.77%,61.61%
,Columbia,668,"1,754","2,482",26.91%,70.67%
,Ferry,"1,486","2,771","4,351",34.15%,63.69%
,Garfield,366,"1,069","1,481",24.71%,72.18%
,Lincoln,"1,713","5,150","6,993",24.50%,73.65%
,Pend Oreille,"2,593","5,728","8,513",30.46%,67.29%
,Spokane,"135,765","148,576","293,294",46.29%,50.66%
,Stevens,"7,839","19,808","28,283",27.72%,70.04%
,Walla Walla (pt.),"13,031","14,464","28,373",45.93%,50.98%
,Whitman,"11,184","9,067","20,964",53.35%,43.25%
5 Total,,"178,895","215,706","406,614",44.00%,53.05%
6,Clallam,"24,721","23,062","49,025",50.43%,47.04%
,Grays Harbor,"17,354","19,877","38,256",45.36%,51.96%
,Jefferson,"17,204","6,931","24,658",69.77%,28.11%
,Kitsap,"90,277","61,563","157,625",57.27%,39.06%
,Mason (pt.),"12,984","14,665","28,512",45.54%,51.43%
,Pierce (pt.),"81,601","42,152","127,239",64.13%,33.13%
6 Total,,"244,141","168,250","425,315",57.40%,39.56%
7,King (pt.),"386,926","50,488","446,135",86.73%,11.32%
,Snohomish (pt.),"23,141","8,344","32,171",71.93%,25.94%
7 Total,,"410,067","58,832","478,306",85.73%,12.30%
8,Chelan,"19,349","22,746","43,025",44.97%,52.87%
,Douglas (pt.),"3,537","5,339","9,072",38.99%,58.85%
,King (pt.),"142,379","90,170","238,492",59.70%,37.81%
,Kittitas,"11,421","14,105","26,198",43.59%,53.84%
,Pierce (pt.),"41,588","58,441","102,882",40.42%,56.80%
8 Total,,"218,274","190,801","419,669",52.01%,45.46%
9,King (pt.),"257,520","84,049","348,781",73.83%,24.10%
,Pierce (pt.),"7,873","4,944","13,140",59.92%,37.63%
9 Total,,"265,393","88,993","361,921",73.33%,24.59%
10,Mason (pt.),"4,285","4,045","8,600",49.83%,47.03%
,Pierce (pt.),"118,444","92,193","217,453",54.47%,42.40%
,Thurston (pt.),"94,071","60,820","159,738",58.89%,38.07%
10 Total,,"216,800","157,058","385,791",56.20%,40.71%
Grand Total,,"2,369,612","1,584,651","4,060,379",58.36%,39.03%
