CD,County,Biden,Trump,Total,Biden%,Trump%
1,Barbour,"1,457","5,116","6,677",21.82%,76.62%
,Brooke,"2,947","7,545","10,656",27.66%,70.81%
,Doddridge,435,"2,619","3,101",14.03%,84.46%
,Gilmer,599,"2,012","2,662",22.50%,75.58%
,Grant,607,"4,871","5,509",11.02%,88.42%
,Hancock,"3,790","9,806","13,800",27.46%,71.06%
,Harrison,"9,215","20,683","30,465",30.25%,67.89%
,Marion,"8,901","16,300","25,794",34.51%,63.19%
,Marshall,"3,455","10,435","14,080",24.54%,74.11%
,Mineral,"2,660","10,040","12,872",20.67%,78.00%
,Monongalia,"20,282","20,803","42,072",48.21%,49.45%
,Ohio,"7,223","12,354","19,898",36.30%,62.09%
,Pleasants,699,"2,742","3,491",20.02%,78.54%
,Preston,"3,163","11,190","14,572",21.71%,76.79%
,Ritchie,586,"3,649","4,283",13.68%,85.20%
,Taylor,"1,796","5,477","7,383",24.33%,74.18%
,Tucker,938,"2,841","3,844",24.40%,73.91%
,Tyler,631,"3,226","3,922",16.09%,82.25%
,Wetzel,"1,539","4,993","6,667",23.08%,74.89%
,Wood,"10,926","27,202","38,762",28.19%,70.18%
1 Total,,"81,849","183,904","270,510",30.26%,67.98%
2,Berkeley,"17,186","33,279","51,535",33.35%,64.58%
,Braxton,"1,457","4,120","5,664",25.72%,72.74%
,Calhoun,568,"2,364","2,971",19.12%,79.57%
,Clay,641,"2,679","3,365",19.05%,79.61%
,Hampshire,"1,939","8,033","10,086",19.22%,79.65%
,Hardy,"1,381","4,859","6,331",21.81%,76.75%
,Jackson,"3,207","10,093","13,508",23.74%,74.72%
,Jefferson,"12,127","15,033","27,703",43.78%,54.26%
,Kanawha,"34,344","46,398","82,244",41.76%,56.42%
,Lewis,"1,538","5,782","7,457",20.62%,77.54%
,Morgan,"1,998","6,537","8,695",22.98%,75.18%
,Pendleton,820,"2,782","3,659",22.41%,76.03%
,Putnam,"7,878","20,034","28,501",27.64%,70.29%
,Randolph,"3,362","8,673","12,200",27.56%,71.09%
,Roane,"1,455","4,213","5,763",25.25%,73.10%
,Upshur,"2,256","7,771","10,221",22.07%,76.03%
,Wirt,466,"2,134","2,653",17.57%,80.44%
2 Total,,"92,623","184,784","282,556",32.78%,65.40%
3,Boone,"2,041","6,816","9,012",22.65%,75.63%
,Cabell,"14,994","21,721","37,360",40.13%,58.14%
,Fayette,"5,063","11,580","16,862",30.03%,68.68%
,Greenbrier,"4,655","10,925","15,850",29.37%,68.93%
,Lincoln,"1,711","6,012","7,830",21.85%,76.78%
,Logan,"2,333","10,534","13,026",17.91%,80.87%
,Mason,"2,526","8,491","11,203",22.55%,75.79%
,McDowell,"1,333","5,148","6,527",20.42%,78.87%
,Mercer,"5,556","19,237","25,134",22.11%,76.54%
,Mingo,"1,397","8,544","10,022",13.94%,85.25%
,Monroe,"1,345","5,068","6,490",20.72%,78.09%
,Nicholas,"2,226","8,279","10,630",20.94%,77.88%
,Pocahontas,"1,047","2,895","4,008",26.12%,72.23%
,Raleigh,"7,982","24,673","33,106",24.11%,74.53%
,Summers,"1,448","4,074","5,585",25.93%,72.95%
,Wayne,"4,088","12,585","16,947",24.12%,74.26%
,Webster,610,"2,759","3,402",17.93%,81.10%
,Wyoming,"1,157","7,353","8,592",13.47%,85.58%
3 Total,,"61,512","176,694","241,586",25.46%,73.14%
Grand Total,,"235,984","545,382","794,652",29.70%,68.63%
