district_id,d_votes,r_votes
AK-00,116454,163387
AL-01,101839,189526
AL-02,96668,193978
AL-03,88876,187604
AL-04,53761,235439
AL-05,91722,189922
AL-06,91781,215098
AL-07,204960,107062
AR-01,82710,178526
AR-02,120843,166843
AR-03,82476,156678
AR-04,94416,182697
AZ-01,165645,181468
AZ-02,130295,162484
AZ-03,121424,36498
AZ-04,136013,128842
AZ-05,103832,166365
AZ-06,155070,173737
AZ-07,149723,70427
AZ-08,116708,176019
AZ-09,82457,156561
CA-01,106000,170897
CA-02,251091,85392
CA-03,148225,175609
CA-04,199588,91994
CA-05,126636,175706
CA-06,139951,97012
CA-07,173116,72303
CA-08,192312,49541
CA-09,118734,89925
CA-10,211297,93720
CA-11,312188,32219
CA-12,285851,21158
CA-13,95740,73456
CA-14,191587,63695
CA-15,222841,51514
CA-16,244067,64281
CA-17,180644,49348
CA-18,149674,47503
CA-19,228207,92925
CA-20,86186,169533
CA-21,100670,63046
CA-22,80935,57626
CA-23,94354,129659
CA-24,192277,110464
CA-25,115402,79731
CA-26,172791,119201
CA-27,137453,111663
CA-28,187981,87369
CA-29,167514,35752
CA-30,227402,64161
CA-31,156396,67936
CA-32,222716,79312
CA-33,129374,67186
CA-34,166571,20440
CA-35,129417,60059
CA-36,248098,88950
CA-37,204880,16919
CA-38,172158,77300
CA-39,126358,67163
CA-40,153235,167909
CA-41,120855,137273
CA-42,169862,50761
CA-43,185173,25041
CA-44,177642,44780
CA-45,147167,110889
CA-46,129505,52908
CA-47,154198,131616
CA-48,114587,175666
CA-49,160308,142290
CA-50,197412,108457
CA-51,174545,105799
CA-52,170895,58244
CO-01,246634,63455
CO-02,242986,121475
CO-03,139358,189660
CO-04,117337,217525
CO-05,107229,175679
CO-06,173994,130081
CO-07,185568,173918
CO-08,125764,130691
CT-01,194466,118324
CT-02,172514,160603
CT-03,179608,134228
CT-04,190493,113120
CT-05,160336,146834
DE-00,235603,185127
FL-01,103905,243016
FL-02,159749,205080
FL-03,141385,192626
FL-04,149047,185405
FL-05,131331,210071
FL-06,132964,218339
FL-07,163252,192127
FL-08,148761,230917
FL-09,170912,97209
FL-10,191961,94722
FL-11,136921,187381
FL-12,121283,223326
FL-13,175941,207467
FL-14,198183,124624
FL-15,144495,156598
FL-16,136620,178089
FL-17,152179,215204
FL-18,111543,175086
FL-19,133732,217952
FL-20,228670,59925
FL-21,162267,200710
FL-22,197860,129928
FL-23,198947,148254
FL-24,235598,50221
FL-25,209081,114301
FL-26,128995,119866
FL-27,175488,122285
FL-28,158628,114666
GA-01,110607,155973
GA-02,150531,124987
GA-03,97676,210579
GA-04,222980,66892
GA-05,250154,49348
GA-06,113676,201677
GA-07,142925,106635
GA-08,93873,179794
GA-09,74464,206635
GA-10,102371,189254
GA-11,109108,185196
GA-12,121481,159486
GA-13,214727,60920
GA-14,73390,191728
HI-01,131565,63534
HI-02,135326,65313
IA-01,177850,189883
IA-02,180282,198955
IA-03,165874,177108
IA-04,129663,235036
ID-01,86264,220999
ID-02,103501,188056
IL-01,258515,86153
IL-02,228009,88360
IL-03,184409,65684
IL-04,164935,49530
IL-05,235988,98390
IL-06,180640,151235
IL-07,272562,31019
IL-08,158507,113058
IL-09,233480,88297
IL-10,186067,112732
IL-11,171819,136492
IL-12,95310,251552
IL-13,176530,147579
IL-14,157151,130645
IL-15,102580,244940
IL-16,125721,213029
IL-17,158506,137320
IN-01,165956,128967
IN-02,99794,172718
IN-03,87898,187915
IN-04,89720,192817
IN-05,113722,189864
IN-06,83828,194382
IN-07,187181,84036
IN-08,96921,206009
IN-09,108135,200532
KS-01,84992,182277
KS-02,105021,158414
KS-03,146155,164205
KS-04,90814,166079
KY-01,84440,228580
KY-02,86587,210823
KY-03,185507,133555
KY-04,94420,214576
KY-05,55923,237010
KY-06,121970,178413
LA-01,89391,237765
LA-02,247624,73825
LA-03,99497,227860
LA-04,126163,205736
LA-05,116424,214143
LA-06,101055,219309
MA-01,201248,137157
MA-02,209107,123066
MA-03,195231,121845
MA-04,217826,132524
MA-05,255386,92837
MA-06,227630,152986
MA-07,247479,34540
MA-08,228502,124147
MA-09,212641,171656
MD-01,133884,220643
MD-02,193450,152487
MD-03,197828,147068
MD-04,270118,22449
MD-05,205347,122588
MD-06,160786,156713
MD-07,240979,54435
MD-08,275536,66786
ME-01,205601,150452
ME-02,152134,185141
MI-01,142938,236350
MI-02,114520,212045
MI-03,166875,166348
MI-04,152436,186511
MI-05,120319,208544
MI-06,227229,145708
MI-07,174728,189387
MI-08,183258,179217
MI-09,120813,249691
MI-10,166896,186855
MI-11,218157,162580
MI-12,250140,85681
MI-13,230530,70626
MN-01,137508,186979
MN-02,165132,169030
MN-03,197909,155324
MN-04,221916,109167
MN-05,266219,65588
MN-06,122185,207737
MN-07,106539,230294
MN-08,150302,198828
MO-01,262735,73222
MO-02,158720,225231
MO-03,117882,231516
MO-04,89546,229813
MO-05,183997,118741
MO-06,98150,231163
MO-07,82189,232326
MO-08,77849,252499
MS-01,96616,198299
MS-02,201803,117922
MS-03,111864,199550
MS-04,74848,184943
MT-01,101340,131085
MT-02,76369,148155
NC-01,194354,158663
NC-02,204617,127311
NC-03,112740,195882
NC-04,231967,110638
NC-05,130876,211069
NC-06,188247,151426
NC-07,142303,186311
NC-08,100173,220513
NC-09,134316,159379
NC-10,94834,229475
NC-11,150104,206800
NC-12,184230,108737
NC-13,150800,158351
